rss_id,source,channel,url,published,author,title
0,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91705,2021-03-18 17:30:00+00:00,,"Senators, Fauci Spar Over Masks"
1,medpage,rss,https://www.medpagetoday.com/special-reports/exclusives/91704,2021-03-18 18:00:00+00:00,,Another Match Day Apart
2,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91703,2021-03-18 19:30:00+00:00,,"In England, COVID-19 Transmission Risk Was Child's Play"
3,medpage,rss,https://www.medpagetoday.com/pulmonology/generalpulmonary/91706,2021-03-19 06:00:00+00:00,,'COVID-to-COVID' Double Lung Transplant Performed
4,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91710,2021-03-19 09:00:00+00:00,,Vax Resistance in Healthcare; EMA Stands Firm on Astra Shot; 'Fly with the Angels'
5,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91711,2021-03-19 09:30:00+00:00,,Intermediate-Dose Clot Prevention Flops for Severe COVID
6,medpage,rss,https://www.medpagetoday.com/neurology/multiplesclerosis/91714,2021-03-19 11:00:00+00:00,,COVID Outcomes Worse for MS Patients With Mobility Problems
7,medpage,rss,https://www.medpagetoday.com/meetingcoverage/isc/91715,2021-03-19 11:30:00+00:00,,Adjustable Stent Retriever Passes Muster
8,medpage,rss,https://www.medpagetoday.com/meetingcoverage/isc/91716,2021-03-19 11:30:00+00:00,,Stroke Care: Some Progress on Racial Disparities
9,medpage,rss,https://www.medpagetoday.com/neurology/multiplesclerosis/91718,2021-03-19 12:00:00+00:00,,New Oral Agent Approved for Relapsing Multiple Sclerosis
10,medpage,rss,https://www.medpagetoday.com/psychiatry/depression/91719,2021-03-19 12:30:00+00:00,,Op-Ed: Mind the Ketamine Education Gap
11,medpage,rss,https://www.medpagetoday.com/rheumatology/generalrheumatology/91721,2021-03-19 13:00:00+00:00,,What to Tell Patients With Rheumatic/Musculoskeletal Diseases About COVID Vaccines
12,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91723,2021-03-19 13:30:00+00:00,,Vitamin D Levels Tied to COVID-19 Risk for Blacks
13,medpage,rss,https://www.medpagetoday.com/blogs/ethics-consult/91722,2021-03-19 14:00:00+00:00,,Ethics Consult: Liver Transplant for Alcoholic Baseball Legend?
14,medpage,rss,https://www.medpagetoday.com/infectiousdisease/covid19/91726,2021-03-19 15:00:00+00:00,,Cancer Patients Respond Poorly to First COVID mRNA Vax Dose
15,medpage,rss,https://www.medpagetoday.com/meetingcoverage/isc/91730,2021-03-19 16:36:04+00:00,,Stroke Thrombectomy: 6-Hour Threshold Not So Relevant?
16,medpage,rss,https://www.medpagetoday.com/special-reports/exclusives/91731,2021-03-19 17:02:05+00:00,,Residency Matching Rates Down This Year
