timestamp,venue,new_articles,error
2021-03-01 21:28:20.274448,wired,20,
2021-03-01 21:28:20.695635,nyt,35,
2021-03-01 21:28:21.367725,guardian,29,
2021-03-01 21:28:21.960924,popsci,30,
2021-03-01 21:28:22.920575,sciblogs,10,
2021-03-01 21:28:23.597928,sciline,15,
2021-03-02 21:09:26.632572,wired,3,
2021-03-02 21:09:27.075349,nyt,8,
2021-03-02 21:09:27.643251,guardian,7,
2021-03-02 21:09:28.108812,popsci,11,
2021-03-02 21:09:29.185531,sciblogs,0,
2021-03-02 21:09:29.794363,sciline,0,
2021-03-04 13:00:25.025816,wired,6,
2021-03-04 13:00:25.462510,nyt,14,
2021-03-04 13:00:26.055819,guardian,14,
2021-03-04 13:00:26.512919,popsci,9,
2021-03-04 13:00:27.535986,sciblogs,0,
2021-03-04 13:00:28.220024,sciline,1,
2021-03-05 18:01:09.661021,wired,3,
2021-03-05 18:01:09.810173,nyt,14,
2021-03-05 18:01:10.357330,guardian,7,
2021-03-05 18:01:10.846270,popsci,15,
2021-03-05 18:01:12.012373,sciblogs,0,
2021-03-05 18:01:12.770886,sciline,0,
2021-03-07 18:12:27.349279,wired,4,
2021-03-07 18:12:27.565583,nyt,8,
2021-03-07 18:12:28.070381,guardian,12,
2021-03-07 18:12:28.553154,popsci,5,
2021-03-07 18:12:29.653503,sciblogs,0,
2021-03-07 18:12:30.323597,sciline,1,
2021-03-08 13:50:03.703832,wired,3,
2021-03-08 13:50:04.142402,nyt,10,
2021-03-08 13:50:04.718103,guardian,8,
2021-03-08 13:50:05.235211,popsci,7,
2021-03-08 13:50:06.345959,sciblogs,0,
2021-03-08 13:50:07.122943,sciline,0,
2021-03-09 13:50:04.286917,wired,2,
2021-03-09 13:50:04.747936,nyt,9,
2021-03-09 13:50:05.477534,guardian,14,
2021-03-09 13:50:06.012579,popsci,10,
2021-03-09 13:50:06.525605,sciblogs,0,
2021-03-09 13:50:07.167655,sciline,0,
2021-03-09 18:00:02.855514,wired,0,
2021-03-09 18:00:03.053855,nyt,2,
2021-03-09 18:00:03.277615,guardian,2,
2021-03-09 18:00:03.661549,popsci,1,
2021-03-09 18:00:04.674254,sciblogs,0,
2021-03-09 18:00:10.440726,sciline,0,
2021-03-10 18:00:05.560919,wired,2,
2021-03-10 18:00:05.718947,nyt,10,
2021-03-10 18:00:06.092221,guardian,5,
2021-03-10 18:00:06.469937,popsci,10,
2021-03-10 18:00:07.055025,sciblogs,0,
2021-03-10 18:00:07.984677,sciline,0,
2021-03-11 18:00:04.840952,wired,4,
2021-03-11 18:00:05.213710,nyt,6,
2021-03-11 18:00:05.508263,guardian,5,
2021-03-11 18:00:05.982451,popsci,16,
2021-03-11 18:00:07.076792,sciblogs,0,
2021-03-11 18:00:07.770280,sciline,0,
2021-03-12 18:00:05.826695,wired,3,
2021-03-12 18:00:06.255875,nyt,9,
2021-03-12 18:00:06.951871,guardian,8,
2021-03-12 18:00:07.467505,popsci,14,
2021-03-12 18:00:08.731910,sciblogs,0,
2021-03-12 18:00:09.377447,sciline,0,
2021-03-13 18:00:06.029279,wired,2,
2021-03-13 18:00:06.417956,nyt,5,
2021-03-13 18:00:06.963139,guardian,3,
2021-03-13 18:00:07.486406,popsci,1,
2021-03-13 18:00:08.023505,sciblogs,0,
2021-03-13 18:00:08.640708,sciline,0,
2021-03-14 18:00:06.117997,wired,2,
2021-03-14 18:00:06.261513,nyt,5,
2021-03-14 18:00:06.486825,guardian,8,
2021-03-14 18:00:06.867153,popsci,1,
2021-03-14 18:00:07.984337,sciblogs,0,
2021-03-14 18:00:08.731343,sciline,0,
2021-03-15 18:00:03.092648,wired,2,
2021-03-15 18:00:03.484353,nyt,12,
2021-03-15 18:00:04.040483,guardian,10,
2021-03-15 18:00:04.507308,popsci,7,
2021-03-15 18:00:05.803973,sciblogs,0,
2021-03-15 18:00:06.510422,sciline,1,
2021-03-16 18:00:05.569567,wired,1,
2021-03-16 18:00:05.979355,nyt,10,
2021-03-16 18:00:06.274548,guardian,13,
2021-03-16 18:00:06.730206,popsci,12,
2021-03-16 18:00:07.818914,sciblogs,0,
2021-03-16 18:00:08.438595,sciline,0,
2021-03-17 18:00:05.102003,wired,3,
2021-03-17 18:00:05.498034,nyt,12,
2021-03-17 18:00:06.097351,guardian,8,
2021-03-17 18:00:06.598441,popsci,13,
2021-03-17 18:00:07.852286,sciblogs,0,
2021-03-17 18:00:08.545207,sciline,1,
2021-03-18 18:00:02.974270,wired,2,
2021-03-18 18:00:03.112856,nyt,11,
2021-03-18 18:00:03.432526,guardian,10,
2021-03-18 18:00:03.894085,popsci,12,
2021-03-18 18:00:04.500930,sciblogs,0,
2021-03-18 18:00:05.167516,sciline,0,
2021-03-19 16:55:14.295054,wired,3,
2021-03-19 16:55:14.471168,nyt,8,
2021-03-19 16:55:15.153255,guardian,6,
2021-03-19 16:55:15.553143,popsci,10,
2021-03-19 16:55:16.199979,healthday,30,
2021-03-19 16:55:16.797368,newsmed,10,
2021-03-19 16:55:17.120228,medpage,20,
2021-03-19 18:00:03.694913,wired,0,
2021-03-19 18:00:03.947054,nyt,0,
2021-03-19 18:00:04.920259,guardian,0,
2021-03-19 18:00:05.486671,popsci,0,
2021-03-19 18:00:06.209925,healthday,0,
2021-03-19 18:00:06.546905,newsmed,4,
2021-03-19 18:00:06.923507,medpage,0,
2021-03-20 18:00:04.826693,wired,1,
2021-03-20 18:00:05.010174,nyt,7,
2021-03-20 18:00:05.325883,guardian,7,
2021-03-20 18:00:05.852806,popsci,1,
2021-03-20 18:00:06.861590,healthday,1,
2021-03-20 18:00:07.649163,newsmed,2,
2021-03-20 18:00:07.979339,medpage,7,
2021-03-21 18:00:05.399159,wired,1,
2021-03-21 18:00:05.540571,nyt,5,
2021-03-21 18:00:05.960657,guardian,5,
2021-03-21 18:00:06.498057,popsci,1,
2021-03-21 18:00:07.053388,healthday,0,
2021-03-21 18:00:07.731135,newsmed,10,
2021-03-21 18:00:08.062702,medpage,7,
2021-03-22 18:00:04.141593,wired,1,
2021-03-22 18:00:04.593581,nyt,14,
2021-03-22 18:00:04.827072,guardian,12,
2021-03-22 18:00:05.683872,popsci,10,
2021-03-22 18:00:06.825073,healthday,26,
2021-03-22 18:00:07.552714,newsmed,10,
2021-03-22 18:00:09.469629,medpage,14,
2021-03-23 18:00:05.252810,wired,1,
2021-03-23 18:00:05.397023,nyt,17,
