ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-03-19 16:55:14.295042,65 (+3),188 (+8),169 (+6),184 (+10),30 (+30),10 (+10),20 (+20)
2021-03-19 18:00:03.694905,65 (+0),188 (+0),169 (+0),184 (+0),30 (+0),14 (+4),20 (+0)
2021-03-20 18:00:04.826684,66 (+1),195 (+7),176 (+7),185 (+1),31 (+1),16 (+2),27 (+7)
2021-03-21 18:00:05.399151,67 (+1),200 (+5),181 (+5),186 (+1),31 (+0),26 (+10),34 (+7)
2021-03-22 18:00:04.141584,68 (+1),214 (+14),193 (+12),196 (+10),57 (+26),36 (+10),48 (+14)
2021-03-23 18:00:05.252802,69 (+1),231 (+17),199 (+6),196 (+0),84 (+27),46 (+10),67 (+19)
2021-03-24 18:00:04.115948,70 (+1),241 (+10),207 (+8),196 (+0),113 (+29),56 (+10),87 (+20)
2021-03-25 18:00:04.615134,72 (+2),253 (+12),219 (+12),196 (+0),143 (+30),66 (+10),103 (+16)
2021-03-26 18:00:06.894345,77 (+5),261 (+8),226 (+7),196 (+0),171 (+28),76 (+10),117 (+14)
2021-03-27 18:00:04.809646,78 (+1),264 (+3),231 (+5),196 (+0),172 (+1),86 (+10),122 (+5)
2021-03-28 18:00:08.434122,80 (+2),269 (+5),240 (+9),196 (+0),173 (+1),89 (+3),127 (+5)
2021-03-29 14:13:02.872227,82 (+2),278 (+9),245 (+5),203 (+7),197 (+24),99 (+10),139 (+12)
2021-03-29 18:00:03.749212,82 (+0),283 (+5),246 (+1),203 (+0),202 (+5),109 (+10),143 (+4)
2021-03-30 18:00:04.360541,84 (+2),295 (+12),256 (+10),213 (+10),229 (+27),119 (+10),155 (+12)
2021-03-31 18:00:07.529129,87 (+3),305 (+10),264 (+8),213 (+0),253 (+24),129 (+10),175 (+20)
2021-03-31 21:00:03.960830,87 (+0),306 (+1),264 (+0),213 (+0),253 (+0),139 (+10),175 (+0)
2021-03-31 22:00:03.784854,87 (+0),306 (+0),265 (+1),213 (+0),253 (+0),142 (+3),176 (+1)
2021-03-31 23:00:03.424462,87 (+0),306 (+0),266 (+1),213 (+0),253 (+0),152 (+10),176 (+0)
2021-04-01 00:00:03.992414,87 (+0),306 (+0),266 (+0),213 (+0),253 (+0),154 (+2),176 (+0)
2021-04-01 01:00:03.917158,87 (+0),306 (+0),266 (+0),213 (+0),253 (+0),154 (+0),176 (+0)
2021-04-01 02:00:03.367669,87 (+0),306 (+0),266 (+0),213 (+0),253 (+0),154 (+0),176 (+0)
2021-04-01 03:00:03.287087,87 (+0),309 (+3),267 (+1),213 (+0),253 (+0),154 (+0),176 (+0)
2021-04-01 04:00:03.465728,87 (+0),310 (+1),267 (+0),213 (+0),253 (+0),158 (+4),176 (+0)
2021-04-01 05:00:03.224626,88 (+1),312 (+2),267 (+0),213 (+0),255 (+2),168 (+10),176 (+0)
2021-04-01 06:00:03.291879,88 (+0),313 (+1),267 (+0),213 (+0),262 (+7),172 (+4),176 (+0)
2021-04-01 07:00:03.611972,89 (+1),315 (+2),267 (+0),213 (+0),263 (+1),172 (+0),177 (+1)
2021-04-01 08:00:03.014149,89 (+0),315 (+0),267 (+0),213 (+0),266 (+3),173 (+1),177 (+0)
2021-04-01 09:00:03.868317,89 (+0),315 (+0),267 (+0),213 (+0),268 (+2),174 (+1),179 (+2)
2021-04-01 10:00:03.976881,89 (+0),315 (+0),268 (+1),213 (+0),270 (+2),175 (+1),180 (+1)
2021-04-01 11:00:03.653646,90 (+1),315 (+0),268 (+0),213 (+0),270 (+0),179 (+4),181 (+1)
2021-04-01 12:00:03.570896,90 (+0),315 (+0),269 (+1),213 (+0),278 (+8),187 (+8),183 (+2)
2021-04-01 13:00:03.277339,90 (+0),315 (+0),270 (+1),213 (+0),279 (+1),187 (+0),185 (+2)
2021-04-01 14:00:04.174511,90 (+0),315 (+0),270 (+0),213 (+0),279 (+0),187 (+0),187 (+2)
2021-04-01 15:00:02.921641,90 (+0),316 (+1),272 (+2),213 (+0),279 (+0),187 (+0),189 (+2)
2021-04-01 16:00:03.738857,90 (+0),318 (+2),272 (+0),213 (+0),282 (+3),187 (+0),191 (+2)
2021-04-01 17:00:03.204841,90 (+0),319 (+1),272 (+0),213 (+0),282 (+0),190 (+3),193 (+2)
2021-04-01 18:00:03.397775,90 (+0),319 (+0),272 (+0),213 (+0),282 (+0),196 (+6),193 (+0)
