id,venue,title,link,summary,published,tags
0,wired,People Who Text While Walking Actually Do Ruin Everything,https://www.wired.com/story/people-who-text-while-walking-actually-do-ruin-everything,Clever experiments demonstrate how having your face in your phone disrupts the flow of pedestrian traffic and makes life difficult for everyone.,"Wed, 17 Mar 2021 18:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Physics and Math', 'scheme': None, 'label': None}, {'term': 'urban design', 'scheme': None, 'label': None}, {'term': 'math', 'scheme': None, 'label': None}]"
1,wired,Indoor-Grown Weed Is Spewing Carbon Into the Atmosphere,https://www.wired.com/story/cannabis-enormous-carbon-emissions,Most legal marijuana is grown in a controlled environment. A study just quantified how much damage that's doing to the planet.,"Sat, 13 Mar 2021 14:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Environment', 'scheme': None, 'label': None}, {'term': 'Ars Technica', 'scheme': None, 'label': None}, {'term': 'marijuana', 'scheme': None, 'label': None}, {'term': 'carbon emissions', 'scheme': None, 'label': None}, {'term': 'climate change', 'scheme': None, 'label': None}, {'term': 'High Emissions', 'scheme': None, 'label': None}]"
2,wired,The Struggle to Vaccinate People in Jails and Prisons,https://www.wired.com/story/covid-19-prisons-vaccines,"One year later, Covid-19 is still hitting incarcerated people at a disproportionate rate. But efforts are under way to prioritize them for vaccines.","Wed, 17 Mar 2021 11:00:00 +0000","[{'term': 'Culture', 'scheme': None, 'label': None}, {'term': 'Science', 'scheme': None, 'label': None}, {'term': 'COVID-19', 'scheme': None, 'label': None}, {'term': 'coronavirus', 'scheme': None, 'label': None}, {'term': 'public health', 'scheme': None, 'label': None}, {'term': 'Covid-19', 'scheme': None, 'label': None}]"
3,wired,How Far Should Humans Go to Help Species Adapt?,https://www.wired.com/story/how-far-should-humans-go-to-help-species-adapt,"A project to teach threatened marsupials to avoid feral cats is among a host of ""assisted evolution"" efforts to help animals in the face of climate change.","Sat, 13 Mar 2021 13:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Environment', 'scheme': None, 'label': None}, {'term': 'Climate Desk', 'scheme': None, 'label': None}, {'term': 'animals', 'scheme': None, 'label': None}, {'term': 'conservation', 'scheme': None, 'label': None}, {'term': 'Ecology', 'scheme': None, 'label': None}, {'term': 'Biology', 'scheme': None, 'label': None}, {'term': 'animal behavior', 'scheme': None, 'label': None}, {'term': 'Evolution', 'scheme': None, 'label': None}, {'term': 'Assisting Evolution', 'scheme': None, 'label': None}]"
4,wired,The Perplexing Psychology of Returning to ‘Normal’,https://www.wired.com/story/the-perplexing-psychology-of-returning-to-normal,"For a year now, we’ve been living in constant fear of Covid-19. But when you get that vaccine in your arm, it’s not like your stress will magically melt away.","Fri, 12 Mar 2021 12:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Health', 'scheme': None, 'label': None}, {'term': 'coronavirus', 'scheme': None, 'label': None}, {'term': 'COVID-19', 'scheme': None, 'label': None}, {'term': 'mental health', 'scheme': None, 'label': None}]"
5,wired,"Bill Gates Is Upbeat on Climate, Capitalism, and Even Politics",https://www.wired.com/story/bill-gates-is-upbeat-on-climate-capitalism-and-even-politics,"The technologist and philanthropist goes beyond his recent book to talk about climate denial, vaccines, and David Foster Wallace.","Thu, 18 Mar 2021 11:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Environment', 'scheme': None, 'label': None}, {'term': 'climate change', 'scheme': None, 'label': None}, {'term': 'Bill Gates', 'scheme': None, 'label': None}, {'term': 'politics', 'scheme': None, 'label': None}, {'term': 'wired q&a', 'scheme': None, 'label': None}]"
6,wired,Why Covering Canals With Solar Panels Is a Power Move,https://www.wired.com/story/why-covering-canals-with-solar-panels-is-a-power-move,"Covering waterways would, in a sense, make solar panels water-cooled, boosting their efficiency.","Fri, 19 Mar 2021 11:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Environment', 'scheme': None, 'label': None}, {'term': 'Energy', 'scheme': None, 'label': None}, {'term': 'water', 'scheme': None, 'label': None}, {'term': 'Shock Value', 'scheme': None, 'label': None}]"
7,wired,A New Kind of Space Explosion Reveals the Birth of a Black Hole,https://www.wired.com/story/new-kind-of-space-explosion-reveals-the-birth-of-a-black-hole,A supernova-like explosion dubbed the Camel appears to be the result of a newborn black hole eating a star from the inside out.,"Sun, 14 Mar 2021 12:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Physics and Math', 'scheme': None, 'label': None}, {'term': 'Quanta Magazine', 'scheme': None, 'label': None}, {'term': 'astrophysics', 'scheme': None, 'label': None}, {'term': 'Astronomy', 'scheme': None, 'label': None}, {'term': 'space', 'scheme': None, 'label': None}, {'term': 'black holes', 'scheme': None, 'label': None}, {'term': 'stars', 'scheme': None, 'label': None}, {'term': 'Animal Crackers', 'scheme': None, 'label': None}]"
8,wired,How Pi Keeps Train Wheels on Track,https://www.wired.com/story/how-pi-keeps-train-wheels-on-track,Happy 3/14! Here's how this mathematical constant keeps train cars from flying off their tracks during turns.,"Sun, 14 Mar 2021 16:30:04 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Physics and Math', 'scheme': None, 'label': None}, {'term': 'Dot Physics', 'scheme': None, 'label': None}, {'term': 'video analysis', 'scheme': None, 'label': None}, {'term': 'Pi Day', 'scheme': None, 'label': None}]"
9,wired,An Ultracold Plasma Models the Universe’s Most Extreme Places,https://www.wired.com/story/an-ultracold-plasma-models-the-universes-most-extreme-places,"The super cool, dense particle swarm gives physicists a way to study the insides of stars—without ever leaving the lab.","Wed, 17 Mar 2021 12:00:00 +0000","[{'term': 'Science', 'scheme': None, 'label': None}, {'term': 'Science / Physics and Math', 'scheme': None, 'label': None}, {'term': 'physics', 'scheme': None, 'label': None}, {'term': 'astrophysics', 'scheme': None, 'label': None}, {'term': 'Astronomy', 'scheme': None, 'label': None}, {'term': 'space', 'scheme': None, 'label': None}, {'term': 'planetary science', 'scheme': None, 'label': None}, {'term': 'Almost Zero', 'scheme': None, 'label': None}]"
10,nyt,NASA Succeeds in 2nd Test of New S.L.S. Moon Rocket,https://www.nytimes.com/2021/03/18/science/sls-engine-test-nasa.html,"A test earlier this year of the Space Launch System core stage was marred by errors, so the agency conducted a do-over.","Fri, 19 Mar 2021 00:17:12 +0000","[{'term': 'Space and Astronomy', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'National Aeronautics and Space Administration', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Rocket Science and Propulsion', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Content Type: Service', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
11,nyt,Some Long Covid-19 Patients Feel Better After Vaccine Doses,https://www.nytimes.com/2021/03/17/health/coronavirus-patients-and-vaccine-effects.html,"It is too soon to tell whether the shots have a broad beneficial effect on patients with continuing issues, but scientists are intrigued and beginning to study the phenomenon.","Fri, 19 Mar 2021 10:12:43 +0000","[{'term': 'Vaccination and Immunization', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Chronic Condition (Health)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Coronavirus (2019-nCoV)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Research', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Moderna Inc', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Pfizer Inc', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'your-feed-science', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'your-feed-healthcare', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
12,nyt,"Trawling for Fish May Unleash as Much Carbon as Air Travel, Study Says",https://www.nytimes.com/2021/03/17/climate/climate-change-oceans.html,"The report also found that strategically conserving some marine areas would not only safeguard imperiled species but sequester vast amounts planet-warming carbon dioxide, too.","Thu, 18 Mar 2021 14:30:46 +0000","[{'term': 'Global Warming', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Greenhouse Gas Emissions', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Oceans and Seas', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fishing, Commercial', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Biodiversity', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Fish and Other Marine Life', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Nature (Journal)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_org', 'label': None}, {'term': 'Research', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Sala, Enric', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_per', 'label': None}]"
13,nyt,Coyote That Attacked Five in Bay Area Is Finally Caught,https://www.nytimes.com/2021/03/12/us/coyote-killed-california-bay-area.html,"The animal, which had bitten five people, including two young children, near San Francisco over nearly eight months, was euthanized on Thursday.","Mon, 15 Mar 2021 20:41:34 +0000","[{'term': 'Coyotes', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'Forensic Science', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}, {'term': 'East Bay (San Francisco, Calif)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/nyt_geo', 'label': None}, {'term': 'DNA (Deoxyribonucleic Acid)', 'scheme': 'http://www.nytimes.com/namespaces/keywords/des', 'label': None}]"
